high_range_low_range_1.01380429179_0.96931403058500029_931230_fa.ppm,00058_931230_fa.ppm,00570_940928_fa.ppm,00648_941031_fa.ppm,1.02115731565,1.00253772409
00572_940928_fa.ppm,00620_940928_fa.ppm,00130_931230_fa.ppm,00571_940928_fa.ppm,1.05603696617,1.00412087131
00516_940519_fa.ppm,00688_941121_fa.ppm,00044_931230_fa.ppm,00163_931230_fa.ppm,1.04163619429,1.00245422472
00028_940128_fa.ppm,00672_941121_fa.ppm,00163_931230_fa.ppm,00598_940928_fa.ppm,1.03811797526,1.0084929773
00516_940519_fa.ppm,00911_960530_fa.ppm,00133_931230_fa.ppm,00673_941121_fa.ppm,1.04498959807,0.992746366059
00673_941121_fa.ppm,00787_941205_fa.ppm,00029_931230_fa.ppm,00044_931230_fa.ppm,1.03137971838,1.01300926655
00239_940128_fa.ppm,00689_941121_fa.ppm,00673_941121_fa.ppm,00809_941205_fa.ppm,1.01630348743,0.973487536453
00029_931230_fa.ppm,00809_941205_fa.ppm,00166_931230_fa.ppm,00724_941201_fa.ppm,1.04067849562,1.00736834468
00163_931230_fa.ppm,00166_931230_fa.ppm,00738_941201_fa.ppm,00983_960627_fa.ppm,1.02373451897,0.9752334815
00153_931230_fa.ppm,00588_940307_fa.ppm,00110_931230_fa.ppm,00988_960627_fa.ppm,1.04936574158,1.00765024218
00600_940928_fa.ppm,00630_940928_fa.ppm,00110_931230_fa.ppm,00318_940422_fa.ppm,1.04554938176,0.984709671028
00578_940928_fa.ppm,00809_941205_fa.ppm,00734_941201_fa.ppm,00988_960627_fa.ppm,1.04498493492,0.9764400194
00490_940519_fa.ppm,00862_940307_fa.ppm,00620_940928_fa.ppm,00932_960627_fa.ppm,1.05505594006,0.99319147495
00570_940928_fa.ppm,00913_960530_fa.ppm,00060_931230_fa.ppm,00452_940422_fa.ppm,1.0424481996,1.01137752444
00013_931230_fa.ppm,00537_940519_fa.ppm,00326_940422_fa.ppm,00349_940422_fa.ppm,1.04982598119,1.00300145666
00166_931230_fa.ppm,00598_940928_fa.ppm,00144_931230_fa.ppm,00994_960627_fa.ppm,1.02112910312,0.999140204331
00267_940128_fa.ppm,00330_940422_fa.ppm,00570_940928_fa.ppm,00911_960530_fa.ppm,1.05623654141,1.00895602706
00579_940928_fa.ppm,00667_941121_fa.ppm,00133_931230_fa.ppm,00693_941121_fa.ppm,1.01957536514,1.01292679677
00239_940128_fa.ppm,00454_940422_fa.ppm,00631_940928_fa.ppm,00632_940928_fa.ppm,1.02879089435,0.990296187167
00625_940928_fa.ppm,00668_941121_fa.ppm,00943_960627_fa.ppm,00953_960627_fa.ppm,1.01445172896,0.988015839756
00101_931230_fa.ppm,00112_931230_fa.ppm,00378_940422_fa.ppm,00384_940422_fa.ppm,1.03753322541,1.01262627153
00570_940928_fa.ppm,00712_941201_fa.ppm,00044_931230_fa.ppm,00218_940128_fa.ppm,1.01470854229,1.00311453948
00673_941121_fa.ppm,00724_941201_fa.ppm,00668_941121_fa.ppm,00752_941201_fa.ppm,1.03399619244,1.00917118707
